factor,frequency,window_days,date,ic,p_value,num_stocks
RSI_Momentum,M,30,2022-03-31,-0.2340693600599207,0.014761117885628361,108
RSI_Momentum,M,30,2022-06-30,-0.4359952080075814,2.399666550743318e-06,108
RSI_Momentum,M,30,2022-10-31,-0.4191363173014549,5.72923696479688e-06,109
RSI_Momentum,M,30,2022-11-30,0.1556470595981711,0.10284006323251217,111
RSI_Momentum,M,30,2023-01-31,0.17557856702384164,0.06406666007691744,112
RSI_Momentum,M,30,2023-02-28,0.28098651146700465,0.0025723431527663494,113
RSI_Momentum,M,30,2023-05-31,0.07609153505002976,0.4210221374002512,114
RSI_Momentum,M,30,2023-07-31,-0.1706610721179438,0.06945896778180276,114
RSI_Momentum,M,30,2023-10-31,-0.246557964398957,0.00762874075767612,116
RSI_Momentum,M,30,2024-07-31,0.1319755020652329,0.15250107547012445,119
RSI_Momentum,M,30,2024-10-31,0.00593096742829363,0.9487385102479156,120
RSI_Momentum,M,45,2022-03-31,-0.2340693600599207,0.014761117885628361,108
RSI_Momentum,M,45,2022-06-30,-0.4359952080075814,2.399666550743318e-06,108
RSI_Momentum,M,45,2022-10-31,-0.4191363173014549,5.72923696479688e-06,109
RSI_Momentum,M,45,2022-11-30,0.1556470595981711,0.10284006323251217,111
RSI_Momentum,M,45,2023-01-31,0.17557856702384164,0.06406666007691744,112
RSI_Momentum,M,45,2023-02-28,0.28098651146700465,0.0025723431527663494,113
RSI_Momentum,M,45,2023-05-31,0.07609153505002976,0.4210221374002512,114
RSI_Momentum,M,45,2023-07-31,-0.1706610721179438,0.06945896778180276,114
RSI_Momentum,M,45,2023-10-31,-0.246557964398957,0.00762874075767612,116
RSI_Momentum,M,45,2024-07-31,0.1319755020652329,0.15250107547012445,119
RSI_Momentum,M,45,2024-10-31,0.00593096742829363,0.9487385102479156,120
RSI_Momentum,M,60,2022-03-31,-0.2340693600599207,0.014761117885628361,108
RSI_Momentum,M,60,2022-06-30,-0.4359952080075814,2.399666550743318e-06,108
RSI_Momentum,M,60,2022-10-31,-0.4191363173014549,5.72923696479688e-06,109
RSI_Momentum,M,60,2022-11-30,0.1556470595981711,0.10284006323251217,111
RSI_Momentum,M,60,2023-01-31,0.17557856702384164,0.06406666007691744,112
RSI_Momentum,M,60,2023-02-28,0.28098651146700465,0.0025723431527663494,113
RSI_Momentum,M,60,2023-05-31,0.07609153505002976,0.4210221374002512,114
RSI_Momentum,M,60,2023-07-31,-0.1706610721179438,0.06945896778180276,114
RSI_Momentum,M,60,2023-10-31,-0.246557964398957,0.00762874075767612,116
RSI_Momentum,M,60,2024-07-31,0.1319755020652329,0.15250107547012445,119
RSI_Momentum,M,60,2024-10-31,0.00593096742829363,0.9487385102479156,120
