date,value,positions,cumulative_costs
2024-10-10,0.0,0,0.0
2024-10-11,0.0,0,0.0
2024-10-14,0.0,0,0.0
2024-10-15,0.0,0,0.0
2024-10-16,0.0,0,0.0
2024-10-17,0.0,0,0.0
2024-10-18,0.0,0,0.0
2024-10-21,0.0,0,0.0
2024-10-22,0.0,0,0.0
2024-10-23,0.0,0,0.0
2024-10-24,0.0,0,0.0
2024-10-25,0.0,0,0.0
2024-10-28,0.0,0,0.0
2024-10-29,0.0,0,0.0
2024-10-30,0.0,0,0.0
2024-10-31,99158040.0,25,163610.766
2024-11-01,98045860.0,25,163610.766
2024-11-04,99760905.0,25,163610.766
2024-11-05,100218345.0,25,163610.766
2024-11-06,100144690.0,25,163610.766
2024-11-07,101812245.0,25,163610.766
2024-11-08,102134515.0,25,163610.766
2024-11-11,102833165.0,25,163610.766
2024-11-12,102479975.0,25,163610.766
2024-11-13,101341040.0,25,163610.766
2024-11-14,102355615.0,25,163610.766
2024-11-15,101111590.0,25,163610.766
2024-11-18,102627725.0,25,163610.766
2024-11-19,103461055.0,25,163610.766
2024-11-20,104766860.0,25,163610.766
2024-11-21,103027515.0,25,163610.766
2024-11-22,104653420.0,25,163610.766
2024-11-25,106178965.0,25,163610.766
2024-11-26,105255110.0,25,163610.766
2024-11-27,104358040.0,25,163610.766
2024-11-28,103685315.0,25,163610.766
2024-11-29,102133550.0,25,163610.766
2024-12-02,101336605.0,25,163610.766
2024-12-03,103689040.0,25,163610.766
2024-12-04,101036615.0,25,163610.766
2024-12-05,99426045.0,25,163610.766
2024-12-06,99053450.0,25,163610.766
2024-12-09,95045930.0,25,163610.766
2024-12-10,99626190.0,25,163610.766
2024-12-11,102557625.0,25,163610.766
2024-12-12,102848120.0,25,163610.766
2024-12-13,103514510.0,25,163610.766
2024-12-16,103127445.0,25,163610.766
2024-12-17,102189175.0,25,163610.766
2024-12-18,103943625.0,25,163610.766
2024-12-19,103403080.0,25,163610.766
2024-12-20,102419285.0,25,163610.766
2024-12-23,104659925.0,25,163610.766
2024-12-24,103916595.0,25,163610.766
2024-12-26,104191335.0,25,163610.766
2024-12-27,102004190.0,25,163610.766
2024-12-30,101942220.0,25,163610.766
2025-01-02,104787125.0,25,163610.766
2025-01-03,103930715.0,25,163610.766
2025-01-06,104803995.0,25,163610.766
2025-01-07,106092600.0,25,163610.766
2025-01-08,107634230.0,25,163610.766
2025-01-09,107665085.0,25,163610.766
2025-01-10,108872170.0,25,163610.766
2025-01-13,107432750.0,25,163610.766
2025-01-14,108882640.0,25,163610.766
2025-01-15,111628415.0,25,163610.766
2025-01-16,111777355.0,25,163610.766
2025-01-17,113382475.0,25,163610.766
2025-01-20,111413015.0,25,163610.766
2025-01-21,113363910.0,25,163610.766
2025-01-22,117090565.0,25,163610.766
2025-01-23,114801600.0,25,163610.766
2025-01-24,117389100.0,25,163610.766
2025-01-31,114424750.0,21,543258.2595
2025-02-03,111529480.0,21,543258.2595
2025-02-04,113316460.0,21,543258.2595
2025-02-05,112602940.0,21,543258.2595
2025-02-06,114130380.0,21,543258.2595
2025-02-07,114321170.0,21,543258.2595
2025-02-10,113100830.0,21,543258.2595
2025-02-11,114347970.0,21,543258.2595
2025-02-12,116209370.0,21,543258.2595
2025-02-13,117626070.0,21,543258.2595
2025-02-14,117453490.0,21,543258.2595
2025-02-17,120297760.0,21,543258.2595
2025-02-18,122883320.0,21,543258.2595
2025-02-19,123766730.0,21,543258.2595
2025-02-20,122432990.0,21,543258.2595
2025-02-21,122474480.0,21,543258.2595
2025-02-24,121709250.0,21,543258.2595
2025-02-25,122186070.0,21,543258.2595
2025-02-26,122159000.0,21,543258.2595
2025-02-27,120719350.0,21,543258.2595
2025-02-28,115839930.0,23,927273.9960000002
2025-03-03,306006727.37189996,23,927273.9960000002
2025-03-04,117024460.0,23,927273.9960000002
2025-03-05,119112970.0,23,927273.9960000002
2025-03-06,118612610.0,23,927273.9960000002
2025-03-07,118021210.0,23,927273.9960000002
2025-03-10,119435220.0,23,927273.9960000002
2025-03-11,116528670.0,23,927273.9960000002
2025-03-12,116655180.0,23,927273.9960000002
2025-03-13,117570720.0,23,927273.9960000002
2025-03-14,117490260.0,23,927273.9960000002
2025-03-17,118848780.0,23,927273.9960000002
2025-03-18,120207880.0,23,927273.9960000002
2025-03-19,119615500.0,23,927273.9960000002
2025-03-20,118751040.0,23,927273.9960000002
2025-03-21,119067250.0,23,927273.9960000002
2025-03-24,118631780.0,23,927273.9960000002
2025-03-25,117274750.0,23,927273.9960000002
2025-03-26,117189110.0,23,927273.9960000002
2025-03-27,114183920.0,23,927273.9960000002
2025-03-28,112204670.0,23,927273.9960000002
2025-03-31,109486520.0,22,1290158.4300000002
2025-04-01,112285435.0,22,1290158.4300000002
2025-04-02,111821110.0,22,1290158.4300000002
2025-04-03,110973980.0,22,1290158.4300000002
2025-04-04,110890635.0,22,1290158.4300000002
2025-04-07,103405660.0,22,1290158.4300000002
2025-04-08,104928280.0,22,1290158.4300000002
2025-04-09,103113440.0,22,1290158.4300000002
2025-04-10,109776745.0,22,1290158.4300000002
2025-04-11,112017915.0,22,1290158.4300000002
2025-04-14,114693050.0,22,1290158.4300000002
2025-04-15,116192640.0,22,1290158.4300000002
2025-04-16,114629620.0,22,1290158.4300000002
2025-04-17,115556720.0,22,1290158.4300000002
2025-04-18,116470570.0,22,1290158.4300000002
2025-04-21,115946760.0,22,1290158.4300000002
2025-04-22,117484500.0,22,1290158.4300000002
2025-04-23,119574590.0,22,1290158.4300000002
2025-04-24,120442540.0,22,1290158.4300000002
2025-04-25,122677780.0,22,1290158.4300000002
2025-04-28,123126170.0,22,1290158.4300000002
2025-04-29,123650900.0,22,1290158.4300000002
2025-04-30,122266750.0,21,1695715.0650000002
2025-05-01,294696448.7411,21,1695715.0650000002
2025-05-02,122071195.0,21,1695715.0650000002
2025-05-05,296421283.041,21,1695715.0650000002
2025-05-06,294998915.5213,21,1695715.0650000002
2025-05-07,123900780.0,21,1695715.0650000002
2025-05-08,124303890.0,21,1695715.0650000002
2025-05-09,124216440.0,21,1695715.0650000002
2025-05-12,125253450.0,21,1695715.0650000002
2025-05-13,126166525.0,21,1695715.0650000002
2025-05-14,126285865.0,21,1695715.0650000002
2025-05-15,126671415.0,21,1695715.0650000002
2025-05-16,127183670.0,21,1695715.0650000002
2025-05-19,126414250.0,21,1695715.0650000002
2025-05-20,126296855.0,21,1695715.0650000002
2025-05-21,128088570.0,21,1695715.0650000002
2025-05-22,126079190.0,21,1695715.0650000002
2025-05-23,127015810.0,21,1695715.0650000002
2025-05-26,130022195.0,21,1695715.0650000002
2025-05-27,129533340.0,21,1695715.0650000002
2025-05-28,129816630.0,21,1695715.0650000002
2025-05-29,134106420.0,21,1695715.0650000002
2025-05-30,131773490.0,21,1695715.0650000002
2025-06-02,131855280.0,21,1695715.0650000002
2025-06-03,302758172.89269996,21,1695715.0650000002
2025-06-04,135768930.0,21,1695715.0650000002
2025-06-05,136714140.0,21,1695715.0650000002
2025-06-06,306240441.7861001,21,1695715.0650000002
2025-06-09,138651565.0,21,1695715.0650000002
2025-06-10,140720180.0,21,1695715.0650000002
2025-06-11,142808610.0,21,1695715.0650000002
2025-06-12,143683220.0,21,1695715.0650000002
2025-06-13,142997275.0,21,1695715.0650000002
2025-06-16,149513010.0,21,1695715.0650000002
2025-06-17,149243045.0,21,1695715.0650000002
2025-06-18,152176390.0,21,1695715.0650000002
2025-06-19,153782510.0,21,1695715.0650000002
2025-06-20,153425190.0,21,1695715.0650000002
2025-06-23,152841635.0,21,1695715.0650000002
2025-06-24,155400170.0,21,1695715.0650000002
2025-06-25,155249440.0,21,1695715.0650000002
2025-06-26,152833265.0,21,1695715.0650000002
2025-06-27,151363605.0,21,1695715.0650000002
2025-06-30,151139805.0,25,2196673.875
2025-07-01,151455210.0,25,2196673.875
2025-07-02,150286700.0,25,2196673.875
2025-07-03,150956570.0,25,2196673.875
2025-07-04,148153445.0,25,2196673.875
2025-07-07,149098530.0,25,2196673.875
2025-07-08,152153185.0,25,2196673.875
2025-07-09,153833320.0,25,2196673.875
2025-07-10,154931790.0,25,2196673.875
2025-07-11,154640595.0,25,2196673.875
2025-07-14,156576700.0,25,2196673.875
2025-07-15,156688050.0,25,2196673.875
2025-07-16,155208050.0,25,2196673.875
2025-07-17,154627720.0,25,2196673.875
2025-07-18,153572995.0,25,2196673.875
2025-07-21,153951720.0,25,2196673.875
2025-07-22,153764305.0,25,2196673.875
2025-07-23,155618190.0,25,2196673.875
2025-07-24,155226230.0,25,2196673.875
2025-07-25,157002745.0,25,2196673.875
2025-07-28,157242315.0,25,2196673.875
2025-07-29,158117260.0,25,2196673.875
2025-07-30,158550830.0,25,2196673.875
2025-07-31,155807560.0,27,2714301.1829999997
2025-08-01,150032335.0,27,2714301.1829999997
2025-08-04,152589000.0,27,2714301.1829999997
2025-08-05,155666240.0,27,2714301.1829999997
2025-08-06,157017825.0,27,2714301.1829999997
2025-08-07,161329645.0,27,2714301.1829999997
2025-08-08,161298680.0,27,2714301.1829999997
2025-08-11,160064025.0,27,2714301.1829999997
2025-08-12,160029905.0,27,2714301.1829999997
2025-08-13,161010465.0,27,2714301.1829999997
2025-08-14,161189130.0,27,2714301.1829999997
2025-08-15,360723434.7037,27,2714301.1829999997
2025-08-18,161525305.0,27,2714301.1829999997
2025-08-19,159150255.0,27,2714301.1829999997
2025-08-20,156193865.0,27,2714301.1829999997
2025-08-21,157836480.0,27,2714301.1829999997
2025-08-22,158259465.0,27,2714301.1829999997
2025-08-25,160485575.0,27,2714301.1829999997
2025-08-26,158100505.0,27,2714301.1829999997
2025-08-27,160406955.0,27,2714301.1829999997
2025-08-28,163521685.0,27,2714301.1829999997
2025-08-29,168170150.0,27,2714301.1829999997
2025-09-01,167336620.0,27,2714301.1829999997
2025-09-02,168804940.0,27,2714301.1829999997
2025-09-03,169544425.0,27,2714301.1829999997
2025-09-04,174484235.0,27,2714301.1829999997
2025-09-05,174864105.0,27,2714301.1829999997
2025-09-08,179943735.0,27,2714301.1829999997
2025-09-09,182417745.0,27,2714301.1829999997
2025-09-10,192063960.0,27,2714301.1829999997
2025-09-11,195116630.0,27,2714301.1829999997
2025-09-12,194346980.0,27,2714301.1829999997
2025-09-15,193017710.0,27,2714301.1829999997
2025-09-16,193176940.0,27,2714301.1829999997
2025-09-17,190783370.0,27,2714301.1829999997
2025-09-18,192931260.0,27,2714301.1829999997
2025-09-19,192101310.0,27,2714301.1829999997
2025-09-22,189718800.0,27,2714301.1829999997
2025-09-23,189643815.0,27,2714301.1829999997
2025-09-24,189793070.0,27,2714301.1829999997
2025-09-25,185490300.0,27,2714301.1829999997
2025-09-26,181232300.0,27,2714301.1829999997
2025-09-29,183684480.0,27,2714301.1829999997
2025-09-30,183417340.0,21,3322345.1002499997
2025-10-01,184356600.0,21,3322345.1002499997
2025-10-02,187663270.0,21,3322345.1002499997
2025-10-03,217440599.2846,21,3322345.1002499997
2025-10-06,218070836.73979995,21,3322345.1002499997
2025-10-07,218223825.58530003,21,3322345.1002499997
2025-10-08,217604106.06730002,21,3322345.1002499997
2025-10-09,217263948.6931,21,3322345.1002499997
2025-10-10,189472520.0,21,3322345.1002499997
2025-10-13,188501410.0,21,3322345.1002499997
2025-10-14,187265410.0,21,3322345.1002499997
2025-10-15,195728800.0,21,3322345.1002499997
2025-10-16,203363790.0,21,3322345.1002499997
2025-10-17,201224940.0,21,3322345.1002499997
2025-10-20,201828940.0,21,3322345.1002499997
