date,portfolio_value,cash,holdings_value,num_holdings,transaction_costs,total_transaction_costs,returns
2021-03-31,0.0,0.0,0,0,0.0,0.0,
2021-04-30,0.0,0.0,0,0,0.0,0.0,
2021-05-31,0.0,0.0,0,0,0.0,0.0,
2021-06-30,0.0,0.0,0,0,0.0,0.0,
2021-08-31,0.0,0.0,0,0,0.0,0.0,
2021-09-30,0.0,0.0,0,0,0.0,0.0,
2021-11-30,0.0,0.0,0,0,0.0,0.0,
2022-02-28,0.0,0.0,0,0,0.0,0.0,
2022-03-31,0.0,0.0,0,0,0.0,0.0,
2022-05-31,0.0,0.0,0,0,0.0,0.0,
2022-06-30,0.0,0.0,0,0,0.0,0.0,
2022-08-31,0.0,0.0,0,0,0.0,0.0,
2022-09-30,0.0,0.0,0,0,0.0,0.0,
2022-10-31,0.0,0.0,0,0,0.0,0.0,
2022-11-30,0.0,0.0,0,0,0.0,0.0,
2023-01-31,0.0,0.0,0,0,0.0,0.0,
2023-02-28,0.0,0.0,0,0,0.0,0.0,
2023-03-31,0.0,0.0,0,0,0.0,0.0,
2023-05-31,0.0,0.0,0,0,0.0,0.0,
2023-06-30,0.0,0.0,0,0,0.0,0.0,
2023-07-31,0.0,0.0,0,0,0.0,0.0,
2023-08-31,0.0,0.0,0,0,0.0,0.0,
2023-10-31,0.0,0.0,0,0,0.0,0.0,
2023-11-30,0.0,0.0,0,0,0.0,0.0,
2024-01-31,0.0,0.0,0,0,0.0,0.0,
2024-02-29,0.0,0.0,0,0,0.0,0.0,
2024-04-30,0.0,0.0,0,0,0.0,0.0,
2024-05-31,0.0,0.0,0,0,0.0,0.0,
2024-07-31,0.0,0.0,0,0,0.0,0.0,
2024-09-30,0.0,0.0,0,0,0.0,0.0,
